Reason for Absence,Distance from Work,Service Time,Age,Percentage of Day Missed,Absenteeism Time in Hours
23,26,9,28,37.5%,3
23,26,9,28,37.5%,3
23,26,9,28,37.5%,3
13,26,9,30,37.5%,3
18,22,17,40,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
23,26,9,28,37.5%,3
28,26,9,28,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
25,26,9,28,37.5%,3
27,51,18,38,37.5%,3
12,51,1,31,37.5%,3
25,16,8,32,37.5%,3
25,14,16,58,37.5%,3
25,25,14,47,37.5%,3
27,51,18,38,37.5%,3
27,26,9,30,37.5%,3
25,16,8,32,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
23,25,14,47,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
27,51,18,38,37.5%,3
23,13,18,50,37.5%,3
16,16,8,32,37.5%,3
19,15,15,41,37.5%,3
8,10,10,37,37.5%,3
5,13,18,50,37.5%,3
6,26,9,28,37.5%,3
27,26,9,30,37.5%,3
19,13,18,50,37.5%,3
13,26,9,30,37.5%,3
25,10,10,37,37.5%,3
10,10,10,37,37.5%,3
22,51,1,31,37.5%,3
23,51,18,38,25.0%,2
23,36,13,33,25.0%,2
23,51,18,38,25.0%,2
23,51,18,38,25.0%,2
23,25,14,47,25.0%,2
23,51,18,38,25.0%,2
23,51,18,38,25.0%,2
23,42,7,27,25.0%,2
23,12,14,34,25.0%,2
23,26,9,28,25.0%,2
23,10,10,37,25.0%,2
23,26,9,28,25.0%,2
23,25,14,47,25.0%,2
28,26,9,28,25.0%,2
23,13,18,50,25.0%,2
23,26,9,28,25.0%,2
23,26,9,28,25.0%,2
27,10,10,37,25.0%,2
23,26,9,28,25.0%,2
27,26,9,28,25.0%,2
23,42,7,27,25.0%,2
28,26,9,28,25.0%,2
27,10,10,37,25.0%,2
27,26,9,28,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
27,10,10,37,25.0%,2
23,42,7,27,25.0%,2
27,10,10,37,25.0%,2
28,12,14,34,25.0%,2
28,50,11,36,25.0%,2
28,26,9,28,25.0%,2
23,26,9,28,25.0%,2
28,50,12,32,25.0%,2
23,26,9,28,25.0%,2
28,26,9,28,25.0%,2
28,26,9,28,25.0%,2
28,12,14,34,25.0%,2
28,12,14,34,25.0%,2
11,51,18,38,25.0%,2
28,48,29,49,25.0%,2
28,26,9,28,25.0%,2
25,12,14,34,25.0%,2
14,26,13,43,25.0%,2
25,25,14,47,25.0%,2
23,20,13,43,25.0%,2
23,20,13,43,25.0%,2
23,25,14,47,25.0%,2
25,11,14,37,25.0%,2
28,51,18,38,25.0%,2
25,11,14,37,25.0%,2
28,27,6,29,25.0%,2
23,12,14,34,25.0%,2
28,10,10,37,25.0%,2
27,51,18,38,25.0%,2
23,25,16,41,25.0%,2
23,31,12,40,25.0%,2
28,25,16,41,25.0%,2
28,51,18,38,25.0%,2
23,13,18,50,25.0%,2
28,25,16,41,25.0%,2
11,10,10,37,25.0%,2
23,25,14,47,25.0%,2
11,22,17,40,25.0%,2
25,26,9,30,25.0%,2
28,10,10,37,25.0%,2
28,51,18,38,25.0%,2
23,26,9,28,25.0%,2
23,13,18,50,25.0%,2
21,26,9,30,25.0%,2
28,25,16,41,25.0%,2
23,26,9,30,25.0%,2
28,25,16,41,25.0%,2
28,25,16,41,25.0%,2
23,5,14,39,25.0%,2
28,31,12,40,25.0%,2
23,12,14,34,25.0%,2
28,31,12,40,25.0%,2
23,26,9,30,25.0%,2
28,31,12,40,25.0%,2
23,10,10,37,25.0%,2
23,48,29,49,25.0%,2
23,26,9,28,25.0%,2
28,31,12,40,25.0%,2
13,10,10,37,25.0%,2
23,26,9,28,25.0%,2
23,26,9,28,25.0%,2
28,52,3,28,25.0%,2
18,22,17,40,25.0%,2
23,26,9,28,25.0%,2
23,26,9,28,25.0%,2
25,22,17,40,25.0%,2
25,22,17,40,25.0%,2
25,22,17,40,25.0%,2
27,26,9,30,25.0%,2
27,26,9,30,25.0%,2
27,51,18,38,25.0%,2
27,51,18,38,25.0%,2
27,51,18,38,25.0%,2
27,26,9,30,25.0%,2
28,15,15,41,25.0%,2
27,51,18,38,25.0%,2
19,51,1,31,25.0%,2
27,51,18,38,25.0%,2
13,26,9,30,25.0%,2
23,22,17,40,25.0%,2
27,26,9,30,25.0%,2
27,51,18,38,25.0%,2
27,51,18,38,25.0%,2
27,51,18,38,25.0%,2
7,26,9,28,25.0%,2
27,51,18,38,25.0%,2
23,25,14,47,25.0%,2
25,26,9,28,25.0%,2
27,51,18,38,25.0%,2
27,51,18,38,25.0%,2
25,16,8,32,25.0%,2
27,51,18,38,25.0%,2
23,25,14,47,25.0%,2
27,51,18,38,25.0%,2
27,26,9,28,25.0%,2
25,26,9,28,25.0%,2
27,51,18,38,25.0%,2
27,26,9,30,25.0%,2
13,25,14,47,25.0%,2
27,51,18,38,25.0%,2
25,14,16,58,25.0%,2
27,51,18,38,25.0%,2
23,26,9,30,25.0%,2
13,26,9,30,25.0%,2
27,26,9,30,25.0%,2
16,22,17,40,25.0%,2
23,52,3,28,25.0%,2
10,10,10,37,25.0%,2
27,26,9,30,25.0%,2
27,26,9,30,25.0%,2
14,13,18,50,25.0%,2
27,26,9,30,25.0%,2
28,16,8,32,25.0%,2
28,31,12,40,25.0%,2
27,26,9,30,25.0%,2
23,13,18,50,25.0%,2
27,26,9,30,25.0%,2
23,16,8,32,25.0%,2
28,31,12,40,25.0%,2
27,26,9,30,25.0%,2
23,12,14,34,25.0%,2
27,26,9,30,25.0%,2
13,26,9,30,25.0%,2
28,31,12,40,25.0%,2
8,10,10,37,25.0%,2
19,51,1,31,25.0%,2
23,10,10,37,25.0%,2
11,51,18,38,12.5%,1
11,51,18,38,12.5%,1
23,36,13,33,12.5%,1
23,52,3,28,12.5%,1
23,25,14,47,12.5%,1
23,26,9,30,12.5%,1
23,52,3,28,12.5%,1
23,51,18,38,12.5%,1
23,26,9,28,12.5%,1
23,26,9,28,12.5%,1
28,25,14,47,12.5%,1
23,25,14,47,12.5%,1
23,26,9,28,12.5%,1
19,10,10,37,12.5%,1
27,10,10,37,12.5%,1
27,26,9,28,12.5%,1
23,26,9,28,12.5%,1
23,42,7,27,12.5%,1
23,26,9,30,12.5%,1
23,16,4,28,12.5%,1
23,26,9,28,12.5%,1
23,26,9,28,12.5%,1
13,26,9,30,12.5%,1
28,26,9,28,12.5%,1
28,31,12,40,12.5%,1
23,26,9,28,12.5%,1
28,12,14,34,12.5%,1
23,12,14,34,12.5%,1
23,13,18,50,12.5%,1
28,31,12,40,12.5%,1
28,12,14,34,12.5%,1
12,51,18,38,12.5%,1
11,51,18,38,12.5%,1
23,13,18,50,12.5%,1
23,36,13,33,12.5%,1
13,26,13,43,12.5%,1
23,25,14,47,12.5%,1
23,26,9,30,12.5%,1
23,11,14,37,12.5%,1
23,13,18,50,12.5%,1
23,51,18,38,12.5%,1
28,13,18,50,12.5%,1
28,51,18,38,12.5%,1
28,13,18,50,12.5%,1
28,13,18,50,12.5%,1
23,13,18,50,12.5%,1
23,31,12,40,12.5%,1
18,11,14,37,12.5%,1
28,51,18,38,12.5%,1
23,51,18,38,12.5%,1
28,51,18,38,12.5%,1
28,13,18,50,12.5%,1
28,51,18,38,12.5%,1
28,51,18,38,12.5%,1
23,26,9,30,12.5%,1
28,51,18,38,12.5%,1
13,11,14,37,12.5%,1
28,51,18,38,12.5%,1
28,51,18,38,12.5%,1
7,26,9,28,12.5%,1
23,13,18,50,12.5%,1
23,52,3,28,12.5%,1
28,10,10,37,12.5%,1
11,16,4,28,12.5%,1
23,29,12,48,12.5%,1
28,51,18,38,12.5%,1
23,13,18,50,12.5%,1
28,31,12,40,12.5%,1
25,22,17,40,12.5%,1
28,25,16,41,12.5%,1
28,25,16,41,12.5%,1
28,25,16,41,12.5%,1
23,25,14,47,12.5%,1
23,26,9,28,12.5%,1
4,48,29,49,12.5%,1
23,31,12,40,12.5%,1
1,14,16,58,12.5%,1
23,31,12,40,12.5%,1
13,26,9,28,12.5%,1
21,51,18,38,12.5%,1
28,51,18,38,12.5%,1
28,51,18,38,12.5%,1
28,31,12,40,12.5%,1
13,26,9,30,12.5%,1
13,26,9,30,12.5%,1
28,10,10,37,12.5%,1
16,22,17,40,12.5%,1
11,26,9,28,12.5%,1
0,13,18,50,0.0%,0
0,50,11,36,0.0%,0
0,26,9,28,0.0%,0
0,36,13,33,0.0%,0
0,13,18,50,0.0%,0
0,17,12,31,0.0%,0
0,13,18,50,0.0%,0
27,10,10,37,0.0%,0
0,29,12,48,0.0%,0
0,5,14,39,0.0%,0
0,16,4,28,0.0%,0
0,49,11,36,0.0%,0
0,15,9,50,0.0%,0
0,50,11,36,0.0%,0
0,20,13,43,0.0%,0
0,35,14,39,0.0%,0
0,50,12,32,0.0%,0
0,20,13,43,0.0%,0
0,13,18,50,0.0%,0
0,25,14,47,0.0%,0
0,20,13,43,0.0%,0
0,20,13,43,0.0%,0
0,50,11,36,0.0%,0
0,31,12,40,0.0%,0
0,27,6,29,0.0%,0
0,16,4,28,0.0%,0
0,49,11,36,0.0%,0
0,5,14,39,0.0%,0
0,17,12,31,0.0%,0
0,11,14,37,0.0%,0
0,25,16,41,0.0%,0
0,13,18,50,0.0%,0
0,51,18,38,0.0%,0
0,26,9,28,0.0%,0
0,31,12,40,0.0%,0
0,36,13,33,0.0%,0
0,20,13,43,0.0%,0
0,13,18,50,0.0%,0
0,49,11,36,0.0%,0
0,29,12,48,0.0%,0
0,11,8,33,0.0%,0
0,14,13,40,0.0%,0
0,35,14,39,0.0%,0
0,45,14,53,0.0%,0
