L/100km,cylinders,displacement,horsepower,weight (kg),acceleration,model year,origin,car name
9.41,4,97.5,80,964.17,17.0,72,1,dodge colt hardtop
10.23,4,97.0,54,1022.22,23.5,72,2,volkswagen type 3
11.76,4,140.0,90,1092.06,19.5,72,1,chevrolet vega
11.2,4,122.0,86,1009.52,16.5,72,1,ford pinto runabout
18.09,8,350.0,165,1938.32,12.0,72,1,chevrolet impala
16.8,8,400.0,175,1988.66,12.0,72,1,pontiac catalina
15.68,8,318.0,150,1875.28,13.5,72,1,plymouth fury iii
16.8,8,351.0,153,1872.56,13.0,72,1,ford galaxie 500
13.84,8,304.0,150,1665.31,11.5,72,1,amc ambassador sst
21.38,8,429.0,208,2101.13,11.0,72,1,mercury marquis
18.09,8,350.0,155,2041.72,13.5,72,1,buick lesabre custom
19.6,8,350.0,160,2020.86,13.5,72,1,oldsmobile delta 88 royale
18.09,8,400.0,190,2005.44,12.5,72,1,chrysler newport royal
12.38,3,70.0,97,1056.69,13.5,72,3,mazda rx2 coupe
15.68,8,304.0,150,1765.08,12.5,72,1,amc matador (sw)
18.09,8,307.0,130,1858.5,14.0,72,1,chevrolet chevelle concours (sw)
18.09,8,302.0,140,1947.39,16.0,72,1,ford gran torino (sw)
16.8,8,318.0,150,1848.98,14.0,72,1,plymouth satellite custom (sw)
13.07,4,121.0,112,1330.16,14.5,72,2,volvo 145e (sw)
10.69,4,121.0,76,1138.78,18.0,72,2,volkswagen 411 (sw)
11.2,4,120.0,87,1351.02,19.5,72,2,peugeot 504 (sw)
9.05,4,96.0,69,992.74,18.0,72,2,renault 12 (sw)
10.69,4,122.0,86,1086.17,16.0,72,1,ford pinto (sw)
8.4,4,97.0,92,1037.64,17.0,72,3,datsun 510 (sw)
10.23,4,120.0,97,1136.51,14.5,72,3,toyouta corona mark ii (sw)
8.4,4,98.0,80,981.41,15.0,72,1,dodge colt (sw)
8.71,4,97.0,88,952.38,16.5,72,3,toyota corolla 1600 (sw)
18.09,8,350.0,175,1859.41,13.0,73,1,buick century 350
16.8,8,304.0,150,1665.31,11.5,73,1,amc matador
18.09,8,350.0,145,1808.62,13.0,73,1,chevrolet malibu
16.8,8,302.0,137,1833.11,14.5,73,1,ford gran torino
15.68,8,318.0,150,1712.93,12.5,73,1,dodge coronet custom
19.6,8,429.0,198,2245.8,11.5,73,1,mercury marquis brougham
18.09,8,400.0,150,2024.49,12.0,73,1,chevrolet caprice classic
18.09,8,351.0,158,1978.68,13.0,73,1,ford ltd
16.8,8,318.0,150,1921.54,14.5,73,1,plymouth fury gran sedan
18.09,8,440.0,215,2147.39,11.0,73,1,chrysler new yorker brougham
19.6,8,455.0,225,2245.35,11.0,73,1,buick electra 225 custom
18.09,8,360.0,175,1732.88,11.0,73,1,amc ambassador brougham
13.07,6,225.0,105,1415.42,16.5,73,1,plymouth valiant
14.7,6,250.0,100,1486.62,18.0,73,1,chevrolet nova custom
13.07,6,232.0,100,1335.6,16.0,73,1,amc hornet
13.07,6,250.0,88,1370.07,16.5,73,1,ford maverick
10.23,6,198.0,95,1317.01,16.0,73,1,plymouth duster
9.05,4,97.0,46,884.35,21.0,73,2,volkswagen super beetle
21.38,8,400.0,150,2266.21,14.0,73,1,chevrolet impala
19.6,8,400.0,167,2224.94,12.5,73,1,ford country
18.09,8,360.0,170,2110.66,13.0,73,1,plymouth custom suburb
19.6,8,350.0,180,2040.36,12.5,73,1,oldsmobile vista cruiser
13.07,6,232.0,100,1264.85,15.0,73,1,amc gremlin
11.76,4,97.0,88,1033.56,19.0,73,3,toyota carina
11.2,4,140.0,72,1088.89,19.5,73,1,chevrolet vega
10.69,4,108.0,94,1078.91,16.5,73,3,datsun 610
13.07,3,70.0,90,963.27,13.5,73,3,maxda rx3
12.38,4,122.0,85,1047.62,18.5,73,1,ford pinto
11.2,6,155.0,107,1121.09,14.0,73,1,mercury capri v6
9.05,4,98.0,90,1027.21,15.5,73,2,fiat 124 sport coupe
15.68,8,350.0,145,1851.25,13.0,73,1,chevrolet monte carlo s
14.7,8,400.0,230,1940.14,9.5,73,1,pontiac grand prix
8.11,4,68.0,49,846.71,19.5,73,2,fiat 128
9.8,4,116.0,75,978.68,15.5,73,2,opel manta
11.76,4,114.0,91,1170.98,14.0,73,2,audi 100ls
12.38,4,121.0,112,1300.68,15.5,73,2,volvo 144ea
15.68,8,318.0,150,1541.5,11.0,73,1,dodge dart custom
9.8,4,121.0,110,1206.35,14.0,73,2,saab 99le
11.76,6,156.0,122,1273.02,13.5,73,3,toyota mark ii
21.38,8,350.0,180,1661.68,11.0,73,1,oldsmobile omega
11.76,6,198.0,95,1406.8,16.5,74,1,plymouth duster
11.2,6,200.0,?,1303.85,17.0,74,1,ford maverick
12.38,6,232.0,100,1315.65,16.0,74,1,amc hornet
15.68,6,250.0,100,1512.93,17.0,74,1,chevrolet nova
7.59,4,79.0,67,884.35,19.0,74,3,datsun b210
9.05,4,122.0,80,1111.56,16.5,74,1,ford pinto
7.35,4,71.0,65,832.65,21.0,74,3,toyota corolla 1200
9.41,4,140.0,75,1152.83,17.0,74,1,chevrolet vega
14.7,6,250.0,100,1714.74,17.0,74,1,chevrolet chevelle malibu classic
14.7,6,258.0,110,1647.17,18.0,74,1,amc matador
13.07,6,225.0,105,1638.55,16.5,74,1,plymouth satellite sebring
14.7,8,302.0,140,1878.0,14.0,74,1,ford gran torino
18.09,8,350.0,150,2131.07,14.5,74,1,buick century luxus (sw)
16.8,8,318.0,150,2021.32,13.5,74,1,dodge coronet custom (sw)
16.8,8,302.0,140,2103.4,16.0,74,1,ford gran torino (sw)
16.8,8,304.0,150,1930.61,15.5,74,1,amc matador (sw)
8.11,4,98.0,83,1006.35,16.5,74,2,audi fox
9.05,4,79.0,67,890.25,15.5,74,2,volkswagen dasher
9.05,4,97.0,78,1043.08,14.5,74,2,opel manta
7.59,4,76.0,52,747.85,16.5,74,3,toyota corona
7.35,4,83.0,61,908.39,19.0,74,3,datsun 710
8.4,4,90.0,75,963.72,14.5,74,1,dodge colt
9.8,4,90.0,75,956.01,15.5,74,2,fiat 128
9.05,4,116.0,75,1018.59,14.0,74,2,fiat 124 tc
9.8,4,120.0,97,1128.8,15.0,74,3,honda civic
9.05,4,108.0,93,1084.35,15.5,74,3,subaru
7.59,4,79.0,67,907.03,16.0,74,2,fiat x1.9
12.38,6,225.0,95,1480.27,16.0,75,1,plymouth valiant custom
13.07,6,250.0,105,1568.71,16.0,75,1,chevrolet nova
15.68,6,250.0,72,1556.46,21.0,75,1,mercury monarch
15.68,6,250.0,72,1432.2,19.5,75,1,ford maverick
14.7,8,400.0,170,2117.01,11.5,75,1,pontiac catalina
15.68,8,350.0,145,2013.61,14.0,75,1,chevrolet bel air
14.7,8,318.0,150,2039.91,14.5,75,1,plymouth grand fury
16.8,8,351.0,148,2112.02,13.5,75,1,ford ltd
13.84,6,231.0,110,1771.88,21.0,75,1,buick century
14.7,6,250.0,105,1767.35,18.5,75,1,chevroelt chevelle malibu
15.68,6,258.0,110,1691.61,19.0,75,1,amc matador
13.07,6,225.0,95,1716.55,19.0,75,1,plymouth fury
11.2,6,231.0,110,1378.23,15.0,75,1,buick skyhawk
11.76,8,262.0,110,1460.77,13.5,75,1,chevrolet monza 2+2
18.09,8,302.0,129,1437.19,12.0,75,1,ford mustang ii
8.11,4,97.0,75,984.58,16.0,75,3,toyota corolla
10.23,4,140.0,83,1196.83,17.0,75,1,ford pinto
11.76,6,232.0,100,1321.54,16.0,75,1,amc gremlin
10.23,4,140.0,78,1175.51,18.5,75,1,pontiac astro
9.8,4,134.0,96,1225.4,13.5,75,3,toyota corona
9.41,4,90.0,71,1008.16,16.5,75,2,volkswagen dasher
9.8,4,119.0,97,1154.2,17.0,75,3,datsun 710
13.07,6,171.0,97,1353.29,14.5,75,1,ford pinto
8.11,4,90.0,70,878.46,14.0,75,2,volkswagen rabbit
12.38,6,232.0,90,1456.24,17.0,75,1,amc pacer
10.23,4,115.0,95,1221.77,15.0,75,2,audi 100ls
10.23,4,120.0,88,1341.04,17.0,75,2,peugeot 504
10.69,4,121.0,98,1335.6,14.5,75,2,volvo 244dl
9.41,4,121.0,115,1211.34,13.5,75,2,saab 99le
7.13,4,91.0,53,814.06,17.5,75,3,honda civic cvcc
8.4,4,107.0,86,1117.46,15.5,76,2,fiat 131
9.41,4,116.0,81,1006.8,16.9,76,2,opel 1900
9.41,4,140.0,92,1166.44,14.9,76,1,capri ii
9.05,4,98.0,79,1022.68,17.7,76,1,dodge colt
8.71,4,101.0,83,998.64,15.3,76,2,renault 12tl
13.44,8,305.0,140,1911.56,13.0,76,1,chevrolet chevelle malibu classic
14.7,8,318.0,150,1900.23,13.0,76,1,dodge coronet brougham
15.18,8,304.0,120,1796.83,13.9,76,1,amc matador
16.22,8,351.0,152,1911.56,12.8,76,1,ford gran torino
10.69,6,225.0,100,1466.21,15.4,76,1,plymouth valiant
10.69,6,250.0,105,1520.63,14.5,76,1,chevrolet nova
9.8,6,200.0,81,1365.99,17.6,76,1,ford maverick
10.45,6,232.0,90,1399.09,17.6,76,1,amc hornet
8.11,4,85.0,52,922.9,22.2,76,1,chevrolet chevette
9.6,4,98.0,60,981.41,22.1,76,1,chevrolet woody
8.11,4,90.0,70,878.46,14.2,76,2,vw rabbit
7.13,4,91.0,53,814.06,17.4,76,3,honda civic
11.76,6,225.0,100,1655.78,17.7,76,1,dodge aspen se
13.07,6,250.0,78,1620.86,21.0,76,1,ford granada ghia
12.71,6,250.0,110,1653.06,16.2,76,1,pontiac ventura sj
13.44,6,258.0,95,1448.07,17.8,76,1,amc pacer d/l
7.97,4,97.0,71,827.66,12.2,76,2,volkswagen rabbit
7.35,4,85.0,70,902.49,17.0,76,3,datsun b-210
8.4,4,97.0,75,977.32,16.4,76,3,toyota corolla
8.88,4,140.0,72,1163.27,13.6,76,1,ford pinto
11.76,4,130.0,102,1428.57,15.7,76,2,volvo 245
18.09,8,318.0,150,1786.85,13.2,76,1,plymouth volare premier v8
12.38,4,120.0,88,1482.99,21.9,76,2,peugeot 504
12.38,6,156.0,108,1328.8,15.5,76,3,toyota mark ii
14.26,6,168.0,120,1732.43,16.7,76,2,mercedes-benz 280s
14.26,8,350.0,180,1986.39,12.1,76,1,cadillac seville
18.09,8,350.0,145,1839.0,12.0,76,1,chevy c10
18.09,8,302.0,130,1755.1,15.0,76,1,ford f108
18.09,8,318.0,150,1702.95,14.0,76,1,dodge d100
7.47,4,98.0,68,927.44,18.5,77,3,honda accord cvcc
7.84,4,111.0,80,977.32,14.8,77,1,buick opel isuzu deluxe
6.53,4,79.0,58,827.66,18.6,77,2,renault 5 gtl
9.22,4,122.0,96,1043.08,15.5,77,1,plymouth arrow gs
7.02,4,85.0,70,882.09,16.8,77,3,datsun f-10 hatchback
13.44,8,305.0,145,1759.64,12.5,77,1,chevrolet caprice classic
13.84,8,260.0,110,1841.27,19.0,77,1,oldsmobile cutlass supreme
15.18,8,318.0,145,1877.55,13.7,77,1,dodge monaco brougham
15.68,8,302.0,130,1947.85,14.9,77,1,mercury cougar brougham
13.44,6,250.0,110,1596.37,16.4,77,1,chevrolet concours
11.47,6,231.0,105,1553.29,16.9,77,1,buick skylark
12.38,6,225.0,100,1646.26,17.7,77,1,plymouth volare custom
12.71,6,250.0,98,1598.64,19.0,77,1,ford granada
14.7,8,400.0,180,1913.83,11.1,77,1,pontiac grand prix lj
15.18,8,350.0,170,1888.89,11.4,77,1,chevrolet monte carlo landau
15.18,8,400.0,190,1961.45,12.2,77,1,chrysler cordoba
14.7,8,351.0,149,1965.99,14.5,77,1,ford thunderbird
8.11,4,97.0,78,879.82,14.5,77,2,volkswagen rabbit custom
9.6,4,151.0,88,1242.63,16.0,77,1,pontiac sunbird coupe
9.05,4,97.0,75,1027.21,18.2,77,3,toyota corolla liftback
9.22,4,140.0,89,1249.43,15.8,77,1,ford mustang ii 2+2
7.71,4,98.0,63,930.16,17.0,77,1,chevrolet chevette
7.02,4,98.0,83,941.04,15.9,77,1,dodge colt m/m
7.84,4,97.0,67,900.23,16.4,77,3,subaru dl
7.71,4,97.0,78,993.2,14.1,77,2,volkswagen dasher
10.69,6,146.0,97,1276.64,14.5,77,3,datsun 810
10.94,4,121.0,110,1179.14,12.8,77,2,bmw 320i
10.94,3,80.0,110,1233.56,13.5,77,3,mazda rx-4
5.46,4,90.0,48,900.23,21.5,78,2,volkswagen rabbit custom diesel
6.52,4,98.0,66,816.33,14.4,78,1,ford fiesta
7.17,4,78.0,52,900.23,19.4,78,3,mazda glc deluxe
5.97,4,85.0,70,938.78,18.6,78,3,datsun b210 gx
6.52,4,91.0,60,816.33,16.4,78,3,honda civic cvcc
11.82,8,260.0,110,1526.08,15.5,78,1,oldsmobile cutlass salon brougham
12.12,8,318.0,140,1693.88,13.2,78,1,dodge diplomat
11.64,8,302.0,139,1619.05,12.8,78,1,mercury monarch ghia
12.25,6,231.0,105,1603.17,19.2,78,1,pontiac phoenix lj
11.47,6,200.0,95,1430.84,18.2,78,1,chevrolet malibu
11.64,6,200.0,85,1344.67,15.8,78,1,ford fairmont (auto)
9.37,4,140.0,88,1233.56,15.4,78,1,ford fairmont (man)
11.47,6,225.0,100,1555.56,17.2,78,1,plymouth volare
12.12,6,232.0,90,1455.78,17.2,78,1,amc concord
11.42,6,231.0,105,1532.88,15.8,78,1,buick century special
11.31,6,200.0,85,1392.29,16.7,78,1,mercury zephyr
12.65,6,225.0,110,1641.72,18.7,78,1,dodge aspen
13.0,6,258.0,120,1546.49,15.1,78,1,amc concord d/l
12.25,8,305.0,145,1553.29,13.2,78,1,chevrolet monte carlo landau
13.29,6,231.0,165,1562.36,13.4,78,1,buick regal sport coupe (turbo)
13.0,8,302.0,139,1453.51,11.2,78,1,ford futura
13.44,8,318.0,140,1850.34,13.7,78,1,dodge magnum xe
7.84,4,98.0,68,977.32,16.5,78,1,chevrolet chevette
8.55,4,134.0,95,1161.0,14.2,78,3,toyota corona
8.65,4,119.0,97,1043.08,14.7,78,3,datsun 510
7.61,4,105.0,75,1011.34,14.5,78,1,dodge omni
11.15,4,134.0,95,1140.59,14.8,78,3,toyota celica gt liftback
10.14,4,156.0,105,1244.9,16.7,78,1,plymouth sapporo
9.88,4,151.0,85,1294.78,17.6,78,1,oldsmobile starfire sx
9.84,4,119.0,97,1090.7,14.9,78,3,datsun 200-sx
11.59,5,131.0,103,1283.45,15.9,78,2,audi 5000
13.84,6,163.0,125,1424.04,13.6,78,2,volvo 264gl
10.89,4,121.0,115,1267.57,15.7,78,2,saab 99gle
14.52,6,163.0,133,1546.49,15.8,78,2,peugeot 604sl
7.47,4,89.0,71,902.49,14.9,78,2,volkswagen scirocco
7.97,4,98.0,68,968.25,16.6,78,3,honda accord lx
10.94,6,231.0,115,1471.66,15.4,79,1,pontiac lemans v6
11.88,6,200.0,85,1356.01,18.2,79,1,mercury zephyr 6
10.55,4,140.0,88,1310.66,17.3,79,1,ford fairmont 4
11.64,6,232.0,90,1480.73,18.2,79,1,amc concord dl 6
11.42,6,225.0,110,1523.81,16.6,79,1,dodge aspen 6
13.84,8,305.0,130,1741.5,15.4,79,1,chevrolet caprice classic
13.36,8,302.0,129,1689.34,13.4,79,1,ford ltd landau
14.26,8,351.0,138,1793.65,13.2,79,1,mercury grand marquis
12.92,8,318.0,135,1736.96,15.2,79,1,dodge st. regis
13.92,8,350.0,155,1977.32,14.9,79,1,buick estate wagon (sw)
15.18,8,351.0,142,1838.55,14.3,79,1,ford country squire (sw)
12.25,8,267.0,125,1634.92,15.0,79,1,chevrolet malibu classic (sw)
12.71,8,360.0,150,1786.85,13.0,79,1,chrysler lebaron town @ country (sw)
7.37,4,89.0,71,873.02,14.0,79,2,vw rabbit custom
6.9,4,86.0,65,895.69,15.2,79,3,maxda glc deluxe
6.59,4,98.0,80,868.48,14.4,79,1,dodge colt hatchback custom
8.58,4,121.0,80,1210.88,15.0,79,1,amc spirit dl
9.26,5,183.0,77,1600.91,20.1,79,2,mercedes benz 300d
10.23,8,350.0,125,1768.71,17.4,79,1,cadillac eldorado
8.65,4,141.0,71,1446.71,24.8,79,2,peugeot 504
9.84,8,260.0,90,1551.02,22.2,79,1,oldsmobile cutlass salon brougham
6.88,4,105.0,70,997.73,13.2,79,1,plymouth horizon
6.82,4,105.0,70,975.06,14.9,79,1,plymouth horizon tc3
7.4,4,85.0,65,916.1,19.2,79,3,datsun 210
6.31,4,91.0,69,965.99,14.7,79,2,fiat strada custom
8.28,4,151.0,90,1210.88,16.0,79,1,buick skylark limited
8.17,6,173.0,115,1176.87,11.3,79,1,chevrolet citation
8.78,6,173.0,115,1224.49,12.9,79,1,oldsmobile omega brougham
7.02,4,151.0,90,1159.18,13.2,79,1,pontiac phoenix
5.67,4,98.0,76,972.34,14.7,80,2,vw rabbit
6.17,4,89.0,60,892.52,18.8,80,3,toyota corolla tercel
7.33,4,98.0,70,961.45,15.5,80,1,chevrolet chevette
6.32,4,86.0,65,915.65,16.4,80,3,datsun 310
8.4,4,151.0,90,1214.51,16.5,80,1,chevrolet citation
8.91,4,140.0,88,1301.59,18.1,80,1,ford fairmont
9.68,4,151.0,90,1361.9,20.1,80,1,amc concord
12.31,6,225.0,90,1533.33,18.7,80,1,dodge aspen
6.86,4,97.0,78,992.29,15.8,80,2,audi 4000
7.89,4,134.0,90,1229.48,15.5,80,3,toyota corona liftback
7.51,4,120.0,75,1152.83,17.5,80,3,mazda 626
6.36,4,119.0,92,1103.85,15.0,80,3,datsun 510 hatchback
7.3,4,108.0,75,1027.21,15.2,80,3,toyota corolla
5.05,4,86.0,65,956.92,17.9,80,3,mazda glc
8.43,4,156.0,105,1269.84,14.4,80,1,dodge colt
5.77,4,85.0,65,956.92,19.2,80,3,datsun 210
5.31,4,90.0,48,945.58,21.7,80,2,vw rabbit c (diesel)
5.42,4,90.0,48,1058.96,23.7,80,2,vw dasher (diesel)
6.46,5,121.0,67,1337.87,19.9,80,2,audi 5000s (diesel)
7.84,4,146.0,67,1473.92,21.8,80,2,mercedes-benz 240d
5.27,4,91.0,67,839.0,13.8,80,3,honda civic 1500 gl
5.75,4,85.0,?,832.2,17.3,80,2,renault lecar deluxe
6.96,4,97.0,67,972.79,18.0,80,3,subaru dl
7.89,4,89.0,62,836.73,15.3,80,2,vokswagen rabbit
7.19,6,168.0,132,1319.73,11.4,80,3,datsun 280-zx
9.92,3,70.0,100,1097.51,12.5,80,3,mazda rx-7 gs
6.72,4,122.0,88,1133.79,15.1,80,2,triumph tr7 coupe
9.97,4,140.0,?,1317.46,14.3,80,1,ford mustang cobra
7.26,4,107.0,72,1038.55,17.0,80,3,honda accord
8.65,4,135.0,84,1129.25,15.7,81,1,plymouth reliant
8.84,4,151.0,84,1195.01,16.4,81,1,buick skylark
9.12,4,156.0,92,1188.21,14.4,81,1,dodge aries wagon (sw)
10.01,6,173.0,110,1235.83,12.6,81,1,chevrolet citation
7.84,4,135.0,84,1081.63,12.9,81,1,plymouth reliant
6.02,4,79.0,58,795.92,16.9,81,3,toyota starlet
6.03,4,86.0,64,850.34,16.4,81,1,plymouth champ
6.7,4,81.0,60,798.19,16.1,81,3,honda civic 1300
7.28,4,97.0,67,936.51,17.8,81,3,subaru
6.36,4,85.0,65,895.69,19.4,81,3,datsun 210 mpg
6.24,4,89.0,62,929.71,17.3,81,3,toyota tercel
6.9,4,91.0,68,900.23,16.0,81,3,mazda glc 4
6.78,4,105.0,63,1004.54,14.9,81,1,plymouth horizon 4
6.84,4,98.0,65,927.44,16.2,81,1,ford escort 4w
7.87,4,98.0,65,1079.37,20.7,81,1,ford escort 2h
7.13,4,105.0,74,993.2,14.2,81,2,volkswagen jetta
6.82,4,100.0,?,1052.15,15.8,81,2,renault 18i
6.98,4,107.0,75,1002.27,14.4,81,3,honda prelude
7.26,4,108.0,75,1065.76,16.8,81,3,toyota corolla
7.15,4,119.0,100,1185.94,14.8,81,3,datsun 200sx
7.44,4,120.0,74,1195.01,18.3,81,3,mazda 626
8.37,4,141.0,80,1464.85,20.4,81,2,peugeot 505s turbo diesel
7.66,6,145.0,76,1433.11,19.6,81,2,volvo diesel
9.26,6,168.0,116,1315.19,12.6,81,3,toyota cressida
9.72,6,146.0,120,1328.8,13.8,81,3,datsun 810 maxima
10.5,6,231.0,110,1548.75,15.8,81,1,buick century
8.84,8,350.0,105,1689.34,19.0,81,1,oldsmobile cutlass ls
11.64,6,200.0,88,1387.76,17.1,81,1,ford granada gl
13.36,6,225.0,85,1571.43,16.6,81,1,chrysler lebaron salon
8.4,4,112.0,88,1181.41,19.6,82,1,chevrolet cavalier
8.71,4,112.0,88,1197.28,18.6,82,1,chevrolet cavalier wagon
6.92,4,112.0,88,1086.17,18.0,82,1,chevrolet cavalier 2-door
7.59,4,112.0,85,1167.8,16.2,82,1,pontiac j2000 se hatchback
8.11,4,135.0,84,1145.12,16.0,82,1,dodge aries se
8.71,4,151.0,90,1240.36,18.0,82,1,pontiac phoenix
9.8,4,140.0,92,1299.32,16.4,82,1,ford fairmont futura
10.23,4,151.0,?,1376.42,20.5,82,1,amc concord dl
6.53,4,105.0,74,897.96,15.3,82,2,volkswagen rabbit l
6.36,4,91.0,68,918.37,18.2,82,3,mazda glc custom l
7.59,4,91.0,68,893.42,17.6,82,3,mazda glc custom
6.19,4,105.0,63,963.72,14.7,82,1,plymouth horizon miser
6.53,4,98.0,70,963.72,17.3,82,1,mercury lynx l
6.53,4,120.0,88,979.59,14.5,82,3,nissan stanza xe
6.53,4,107.0,75,1000.0,14.5,82,3,honda accord
6.92,4,108.0,70,1018.14,16.9,82,3,toyota corolla
6.19,4,91.0,67,891.16,15.0,82,3,honda civic
7.35,4,91.0,67,891.16,15.7,82,3,honda civic (auto)
6.19,4,91.0,67,904.76,16.2,82,3,datsun 310 gx
9.41,6,181.0,110,1335.6,16.4,82,1,buick century limited
6.19,6,262.0,85,1367.35,17.0,82,1,oldsmobile cutlass ciera (diesel)
9.05,4,156.0,92,1172.34,14.5,82,1,chrysler lebaron medallion
10.69,6,232.0,112,1285.71,14.7,82,1,ford granada l
7.35,4,144.0,96,1208.62,13.9,82,3,toyota celica gt
6.53,4,135.0,84,1074.83,13.0,82,1,dodge charger 2.2
8.71,4,151.0,90,1337.87,17.3,82,1,chevrolet camaro
8.71,4,140.0,86,1265.31,15.6,82,1,ford mustang gl
5.35,4,97.0,52,965.99,24.6,82,2,vw pickup
7.35,4,135.0,84,1040.82,11.6,82,1,dodge rampage
8.4,4,120.0,79,1190.48,18.6,82,1,ford ranger
7.59,4,119.0,82,1233.56,19.4,82,1,chevy s-10
